name,comments,lat,lon
1-5 Old Gate,Old Gate Bar and Restaurant,-2.0149822,53.7414608
2 Market Street,Organic House,-2.0151216,53.7414481
4 Market Street,Heart Gallery,-2.0153148,53.741464
6 Market Street,The Yorkshire Soap Company,-2.0156849,53.7414132
10 Market Street,Barclays Bank,-2.0158271,53.7414021
Barclays Bank Chambers Market Street,Cresswells,-2.0159156,53.7413989
14 Market Street,The Deli,-2.0159719,53.7413958
16 Market Street,Molly and Ginger,-2.0160416,53.7413958
18 Market Street,Ribbon Circus,-2.0161167,53.741391
20 Market Street,Calder Gallery,-2.0161918,53.7413894
22 Market Street,Papas,-2.016275,53.7413831
30 Market Street,Saker Organic Bread,-2.0166505,53.7413561
28 Market Street,Ryburne Brokers and Co,-2.0165834,53.7413609
24 Market Street,Mooch,-2.0163689,53.7413735
26 Market Street,Radiance,-2.0164453,53.741372
38 Market Street,Muse Music & Love Cafe,-2.0169214,53.741345
40 Market Street,2 Tone Comics,-2.016971,53.7413434
42-44 Market Street,Mattocks,-2.0170649,53.7413371
48-50 Market Street,Banyan Tree,-2.0178763,53.741303
52 Market Street,Kitties Restuarant,-2.0179983,53.7412998
56 Market Street,Hat Therapy,-2.0181887,53.741295
58 Market Street,Snug Gallery,-2.0182799,53.7412934
41 Market Street,Co-operative Food,-2.0169978,53.7412474
Salem Street,Salem Mill,-2.016672,53.7410499
39A Market Street,Not a Full Shilling,-2.0165727,53.7412736
37 Market Street,Ruby Shoesday,-2.0164936,53.7412768
35 Market Street,Dynamite,-2.0164359,53.7412784
33 Market Street,JK's Chinese Takeaway,-2.0163702,53.7412823
31 Market Street,Valley Organics,-2.0163085,53.7412855
29 Market Street,The Book Case,-2.0161851,53.7412903
27 Market Street,Hair Care,-2.0161208,53.7412887
23 Market Street,Earth Spirit,-2.0157452,53.7413045
21 Market Street,Oxfam,-2.0156514,53.7413156
25 Market Street,Element,-2.015984,53.7412966
19 Market Street,Eastern Spice,-2.0155629,53.7413204
15 Market Street,Drink?,-2.015477,53.7413283
11-13 Market Street,Spirals,-2.0152839,53.7413331
9 Market Street,Hebden Computers,-2.0151686,53.7413442
7 Market Street,The Afghan Rug Shop,-2.0151096,53.7413394
5 Market Street,Caf̩é Solo,-2.0150425,53.7413394
1-5 Market Street,The Old Treehouse,-2.0149325,53.7413252
36 Market Street,Monster Computers,-2.0167511,53.7413521
4 Hilton Street,Hotcakes,-2.0159142,53.7411983
Market Place,Hebden Bridge Market,-2.0128493,53.7427964
46 Market Street,Empty shop unit,NaN,NaN
The Old Loading Bay Hebden Bridge Railway Station,Coffee Station / Parcel Bar,-2.0088153,53.7377802
3 Bridge Gate,Ladbrokes,-2.0139345,53.7412465
Central Street,Central Street Infant and Nursery School ,-2.0158073,53.7410113
Church Lane,Hebden Royd CE Primary School,-2.0252434,53.7435581
St. George's Square,Feathergill's Emporium,-2.0122593,53.7420265
Cheetham Street,Empty shop unit,-2.0118935,53.7414285
Albert Street,Welcome Independent Living,-2.011052,53.7405667
9 Old Gate,Cornucopia,-2.0146634,53.7415602
32 Market Street,Empty shop unit,NaN,NaN
Station House Station Road,Hebden Bridge Railway Station,-2.0086486,53.7377124
Calder Homles Park,Park Life Cafe,-2.0124041,53.739519
1 Bridge Gate,Valli Opticians,-2.0140939,53.7412291
7 Heptonstall Road,Fox & Goose,-2.0213769,53.7419916
"Flat, 17-21 West End",Hebden Cars,-2.013952,53.7410418
New Road,Crossley Mill Nursery,-2.0110451,53.740226
Holme Street,Holme Street Arts Centre,-2.0142504,53.7405671
Crown Street,Oasis Wine & Specialist Food Merchant,-2.0123686,53.741647
St George's Square,Rohan,-2.012447,53.7419864
St. George's Square,L.t.d.,-2.0126676,53.7420654
St. George's Square,David Woodhead Family Butchers,-2.0123706,53.7419551
9 Albert Street,Vintage shop,-2.0116099,53.7413123
Bridge Gate,The Workshop,-2.0120283,53.7422598
17 Market Street,Copa House,-2.0153939,53.7413315
30 Market Street,Empty shop unit,NaN,NaN
Hebble End,Bicycle Den,-2.0168834,53.7403725
St. George's Square,S K News,-2.0123096,53.7421185
St. George's Square,Valentine's,-2.0122821,53.7420772
Crown Street,Empty shop unit,-2.0127132,53.7415712
37 West End,Mark Hurst Opticians,-2.0146091,53.741164
35 West End,Blazing Saddles,-2.0145561,53.7411295
31-33 West End,Ryburnes,-2.0145146,53.7411279
29 West End,Finn Gledhill,-2.0144495,53.7411247
27 West End,Drew Forsyth & Co,-2.0143872,53.7411216
25 West End,Cabbages and Cushions,-2.0143161,53.7411192
23 West End,Hebden Cleaners,-2.0142376,53.741116
21A West End,Ifones,-2.0141719,53.7411136
21 West End,Olive Branch,-2.0140891,53.7411142
19 West End,Wood and Wire,-2.0139708,53.7411204
17 West End,Max's Jewellers & Workshop,-2.0138729,53.7411005
Holme Street,Post Office,-2.0141297,53.7406917
Holme Street,Trades Club,-2.0142866,53.7405298
Holme Street,Hebden Bridge Little Theatre,-2.014351,53.7404521
6 Bridge Gate,William Holt,-2.013772,53.7412037
26 New Road,Willow Garden,-2.0136185,53.7411413
22 New Road,The Closet,-2.0134542,53.7410775
24 New Road,Hair and There,-2.0135487,53.741104
20 New Road,Peter David Properties,-2.0133724,53.7410537
New Road,Café on T’Front,-2.0129975,53.7409541
New Road,Hope Baptist Church,-2.0124801,53.7408566
5 Hope Street,Francine Turner,-2.0121917,53.7407757
18 New Road,Paradise Takeaway,-2.012108,53.7407412
16 New Road,Hebden Bridge Dental Care,-2.0120094,53.7407162
12 New Road,The Railway,-2.0118196,53.7406698
10 New Road,Moyles B&B,-2.0116909,53.74065
Butlers Wharf New Road,Rim Nam Thai,-2.0120945,53.7403605
Butlers Wharf New Road,Flying Saucers Painting Pottery Cafe,-2.0120856,53.7404179
Butlers Wharf New Road,Blow Hair Studio,-2.0122151,53.7404412
New Road New Road,Hebden Bridge Visitor Centre,-2.0121481,53.7405619
1 New Road,Valley Private Hire,-2.0123748,53.7406651
New Road,Hebden Bridge Picture House,-2.0124901,53.740692
"Unit 3, The Picture House Cinema New Road",Milk Bar,-2.0125893,53.740715
Holme Street,Riverside Junior School,-2.0144361,53.7405921
Church Lane,St. James Hebden Bridge,-2.0254043,53.7432964
St. George's Square,Country Stores,-2.012335,53.7421625
54 Market Street,Kip McGrath Education Centre,-2.0180792,53.7412929
Bridge Gate,White Lion,-2.0118298,53.7423724
Crown Street,Overgate Hospice shop,-2.0131397,53.7412333
Albert Street,Jack's Barbers,-2.0116816,53.741718
Bridge Gate,The Barn Home and Gifts,-2.0120283,53.7422598
7 Old Gate,Menagerie Pet and Garden Supplies,-2.0145548,53.7415657
14 New Road,Hebden Bridge Spiritualist Church,-2.0119162,53.7406921
13 New Road,Gina B Glass,-2.0111376,53.740387
New Road,Bronte Boat Hire,-2.0113031,53.7401905
Crown Street,Oasis News,-2.0121205,53.7418207
Crown Street,Pennine Provisions,-2.0125214,53.7416969
,Love Grows,-2.0119267,53.7422573
Garden Street,Jules Pottery & China,-2.0116045,53.7417474
Hope Street,N G Jewellers,-2.0118935,53.7414285
Hollins Place,Brocante Country Homeware,-2.0119317,53.7421456
5 Old Gate,Kiddies Corner,-2.0144582,53.7415832
7 Hangingroyd Road,Beads,-2.0173631,53.7413817
8 New Road,Former (Moyles) hotel,-2.011546,53.7406135
Station House Station Road,Hebden Bridge Private Day Nursery,-2.0085359,53.7376743
Bridge Gate,Shoulder of Mutton,-2.0126214,53.7422208
Bridge Gate,Laundrette,-2.0128681,53.7420626
Bridge Gate,Coffee Cali,-2.0129439,53.7420205
Bridge Gate,Lamppost Cafe,-2.0133663,53.7417294
Bridge Gate,Something Sweet,-2.0134148,53.7416712
Bridge Gate,Watergate Tearooms,-2.0134818,53.7416157
Bridge Gate,Pennine Wine & Cheese,-2.0136602,53.7412699
Bridge Gate,Reeds Rains ,-2.01362,53.7413
Bridge Gate,Age UK,-2.0135663,53.7413381
Bridge Gate,RSPCA,-2.0135274,53.7413777
Bridge Gate,Dee's Wardrobe,-2.0134926,53.7414071
,Aya Sophia,-2.013457,53.7413999
Bridge Gate,Calan's Micropub,-2.013215,53.741344
Bridge Gate,Earth Collection,-2.0133658,53.7413516
Bridge Gate,Bamboo,-2.0134027,53.7415328
Bridge Gate,Rendezvous,-2.0133477,53.7415756
Bridge Gate,Fat Face,-2.0132512,53.7416502
Bridge Gate,Anthony J Turner,-2.0131752,53.7417219
Bridge Gate,The White Swan,-2.0130673,53.741846
Bridge Gate,Noir,-2.0128983,53.7419246
Bridge Gate,Shelter,-2.0128433,53.7419571
Bridge Gate,Just Books,-2.0127977,53.7419841
Crown Street,Nelson's Wine Bar,-2.0122338,53.7417552
Crown Street,Stephen Maskill butcher,-2.012504,53.7415708
Crown Street,One Stop Shop,-2.0126207,53.7414836
Crown Street,Crown Inn,-2.0127454,53.7413947
Crown Street,The Crown Fish and Chips,-2.012909,53.7412472
Crown Street,Claire Sheehan,-2.0129788,53.7411544
Crown Street,Hospice Shop,NaN,NaN
Crown Street,Hiu Man,-2.0130793,53.7412881
Crown Street,Daisy and Sam,-2.0130297,53.7413313
Crown Street,Boots,-2.0128598,53.7414615
Crown Street,Christine Edwards,-2.0129566,53.74139
Crown Street,Amelia,-2.0125925,53.7416569
Crown Street,Mountain Wild,-2.0126428,53.7415982
Albert Street,Independent Living,NaN,NaN
Albert Street,Print Bureau,-2.0111137,53.7407079
Albert Street,Greenwood Funerals,NaN,NaN
Albert Street,Citizen's Advice Bureau,NaN,NaN
Albert Street,Quilt Cabin,NaN,NaN
Albert Street,Greens Vegetarian Cafe,-2.0113497,53.7410038
Albert Street,Gibsons,NaN,NaN
Albert Street,Pennine Club,-2.0114945,53.7411715
Albert Street,Hebden Bridge Sports and Social Club,-2.0115509,53.7412366
Albert Street,Edwards,NaN,NaN
Albert Street,Squeeze,-2.0116246,53.741331
Albert Street,Polkadot Lane,-2.0116427,53.7413568
Albert Street,Colour Yorkshire,-2.0116883,53.7414821
Albert Street,Lloyds Bank,-2.0117738,53.7412595
Albert Street,Hebden Bridge Antiques Centre,-2.0116166,53.7410569
Albert Street,The Albert,-2.0114945,53.740907
Hope Street,Circle of Friends,-2.0119317,53.741329
Hope Street,Library,-2.0119642,53.7412817
Carlton Street,Marshalls Bar,-2.0123183,53.7415546
Carlton Street,Zeitgeist,-2.011984,53.7414591
Hebble End,Hebble End studios,NaN,NaN
Albert Street,Cook & Coffee,-2.0119384,53.7415455
St. Georges Square,The Country Stores,NaN,NaN
King Street,The Stubbing Wharf,-2.0276305,53.7408868
24 (upstairs) New Road,Eden Beauty Room,-2.0135221,53.7411108
2 Crown Street,Former bank,-2.0132264,53.7409887
Market Street,Royd Methodist Church,-2.0177279,53.7411771
Albert Street,Zinnia,-2.0117185,53.741657
Crown Street,Riverstones jewellers,-2.0124651,53.741735
Crown Street,Fleurs de Lys,-2.0124034,53.7417731
St. George's Square,Sauce,-2.0125436,53.7420237
(upstairs) Cheetham Street,Elizabeth's Unisex Hair Salon,-2.0124869,53.7411846
Albert Street,Opticians,-2.0116648,53.7413877
